Aria | Composer | Opera | Voice/Fach | PDF URL
Un aura amorosa/一缕爱的气息 | Mozart, Wolfgang Amadeus | Così fan tutte/女人皆如此 | Ferrando | http://theoperadatabase.com/PDFs/Mozart/Tenor/Un%20aura%20amorosa.pdf
Da schlägt des Abschieds Stunde/离别时刻已敲响 | Mozart, Wolfgang Amadeus | Der Schauspieldirektor/剧院经理 | Madame Herz | http://theoperadatabase.com/PDFs/Mozart/Soprano/Da%20schlagt%20des%20Abschieds%20Stunde.pdf
Bester Jüngling/最好的青年 | Mozart, Wolfgang Amadeus | Der Schauspieldirektor/剧院经理 | Madame Silberklang | http://theoperadatabase.com/PDFs/Mozart/Soprano/Bester%20jungling.pdf
O wie will ich triumphieren/哦，我多么想欢庆胜利 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Osmin | http://theoperadatabase.com/PDFs/Mozart/Bass/O%20wie%20will%20ich%20triumphieren.pdf
Solche hergelaufne Laffen/这些游手好闲的浪荡子 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Osmin | http://theoperadatabase.com/PDFs/Mozart/Bass/Solche%20hergelaufne%20Laffen.pdf
Wer ein Liebchen hat gefunden/谁找到了心上人 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Osmin | http://theoperadatabase.com/PDFs/Mozart/Bass/Wer%20ein%20Liebchen%20hat%20gefunden.pdf
Durch Zärtlichkeit und Schmeicheln/以温柔与谄媚 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Blondchen | http://theoperadatabase.com/PDFs/Mozart/Soprano/Durch%20Zartlichkeit%20und%20Schmeicheln.pdf
Welche Wonne, welche Lust/何等欢欣，何等喜悦 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Blondchen | http://theoperadatabase.com/PDFs/Mozart/Soprano/Welche%20Wonne,%20welche%20Lust.pdf
Ach ich liebte/啊，我多么痛苦 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Konstanze | http://theoperadatabase.com/PDFs/Mozart/Soprano/Ach%20ich%20liebte.pdf
Martern aller Arten/一切折磨 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Konstanze | http://theoperadatabase.com/PDFs/Mozart/Soprano/Martern%20aller%20Arten.pdf
Welcher Wechsel herrscht...Traurigkeit ward mir zum Loose/世事变迁...悲伤成我宿命 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Konstanze | http://theoperadatabase.com/PDFs/Mozart/Soprano/Traurigkeit%20ward%20mir%20zum%20Loose.pdf
Hier soll ich dich denn sehen/我终将在此与你相见 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Belmonte | http://theoperadatabase.com/PDFs/Mozart/Tenor/Hier%20soll%20ich%20dich%20denn%20sehen.pdf
Ich baue ganz auf deine Stärke/我完全信赖你的力量 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Belmonte | http://theoperadatabase.com/PDFs/Mozart/Tenor/Ich%20baue%20ganz%20auf%20deine%20Starke.pdf
Konstanze, Konstanze...O wie ängstlich/康斯坦采，康斯坦采……哦，多么焦虑 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Belmonte | http://theoperadatabase.com/PDFs/Mozart/Tenor/O%20wie%20angstlich.pdf
Wenn der Freude Tränen fliessen/当喜悦的泪水流淌 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Belmonte | http://theoperadatabase.com/PDFs/Mozart/Tenor/Wenn%20der%20Freude%20Tranen%20fliessen.pdf
Frisch zum Kampfe/奔赴战场 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Pedrillo | http://theoperadatabase.com/PDFs/Mozart/Tenor/Frisch%20zum%20Kampfe.pdf
Im Mohrenland gefangen war ein Mädel/摩尔姑娘被囚在摩尔国 | Mozart, Wolfgang Amadeus | Die Entführung aus Serail/后宫诱逃 | Pedrillo | http://theoperadatabase.com/PDFs/Mozart/Tenor/Im%20Mohrenland%20gefanger%20war%20ein%20Madel.pdf
Der Vogelfänger bin ich ja/我真是个捕鸟人 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Papageno | http://theoperadatabase.com/PDFs/Mozart/Baritone/Der%20Vogelfanger%20bin%20ich%20ja.pdf
Ein Mädchen oder Weibchen/一个姑娘或女人 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Papageno | http://theoperadatabase.com/PDFs/Mozart/Baritone/Ein%20Madchen%20oder%20Weibchen.pdf
Papagena, Papagena, Papagena (Papageno's Suicide Aria)/帕帕盖娜，帕帕盖娜，帕帕盖娜（帕帕盖诺自杀咏叹调） | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Papageno | http://theoperadatabase.com/PDFs/Mozart/Baritone/Papagena%20Papagena%20Papagena.pdf
In diesen heil'gen Hallen/在这神圣的殿堂里 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Sarastro | http://theoperadatabase.com/PDFs/Mozart/Bass/In%20diesen%20heilgen%20Hallen.pdf
O Isis und Osiris/哦，伊西斯与奥西里斯 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Sarastro | http://theoperadatabase.com/PDFs/Mozart/Bass/O%20Isis%20und%20Osiris.pdf
Ach, ich fühl's, es ist verschwunden/啊，我感到，它已消逝 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Pamina | http://theoperadatabase.com/PDFs/Mozart/Soprano/Ach,%20ich%20fuhls.pdf
Der Hölle Rache kocht in meinem Herzen/地狱的复仇在我心中燃烧 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | The Queen of the Night | http://theoperadatabase.com/PDFs/Mozart/Soprano/Der%20Holle%20Rache%20kocht%20in%20meinem%20Herzen.pdf
O zitt're nicht...Zum Leiden bin ich auserkoren/莫惊慌...我注定要承受苦难 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | The Queen of the Night | http://theoperadatabase.com/PDFs/Mozart/Soprano/O%20zitt%20re%20nicht.pdf
Alles fühlt der Liebe Freuden/万物皆感爱之欢愉 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Monostatos | http://theoperadatabase.com/PDFs/Mozart/Tenor/Alles%20fuhlt%20der%20Liebe%20Freuden.pdf
Dies Bildnis ist bezaubernd schön/这肖像多么迷人 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Tamino | http://theoperadatabase.com/PDFs/Mozart/Tenor/Dies%20Bildnis%20ist%20bezaubernd%20schon.pdf
Wie stark ist nicht dein Zauberton/你的魔力声音多么强烈 | Mozart, Wolfgang Amadeus | Die Zauberflöte (The Magic Flute)/魔笛 | Tamino | http://theoperadatabase.com/PDFs/Mozart/Tenor/Wie%20stark%20ist%20nicht%20dein%20Zauberton.pdf
Deh, vieni alla finestra/请到窗前来 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Don Giovanni | http://theoperadatabase.com/PDFs/Mozart/Baritone/Deh,%20vieni%20alla%20finestra.pdf
Fin ch'han dal vino/当美酒斟满 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Don Giovanni | http://theoperadatabase.com/PDFs/Mozart/Baritone/Fin%20ch%20han%20dal%20vino.pdf
Metà di voi qua vadano/你们一半人到这里来 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Don Giovanni | http://theoperadatabase.com/PDFs/Mozart/Baritone/Meta%20di%20voi%20qua%20vadano.pdf
Ho capito, signor, si/我明白了，先生，是的 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Masetto | http://theoperadatabase.com/PDFs/Mozart/Baritone/Ho%20capito%20signor%20si.pdf
Ah, pieta! Signori miei!/啊，怜悯吧！我的大人们！ | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Leporello | http://theoperadatabase.com/PDFs/Mozart/Bass/Ah%20pieta%20signori%20miei.pdf
Madamina, il catalogo è questo/亲爱的姑娘，请看这名单 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Leporello | http://theoperadatabase.com/PDFs/Mozart/Bass/Madamina.pdf
Notte e giorno faticar/不分昼夜辛苦操劳 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Leporello | http://theoperadatabase.com/PDFs/Mozart/Bass/Notte%20e%20giorno%20faticar.pdf
Don Ottavio, son morta!...Or sai chi l'onore/唐·奥塔维奥，我死了！……而今你知谁玷辱了名誉 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Donna Anna | http://theoperadatabase.com/PDFs/Mozart/Soprano/Or%20sai%20chi%20l%20onore.pdf
Non mi dir/莫对我说 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Donna Anna | http://theoperadatabase.com/PDFs/Mozart/Soprano/Non%20mi%20dir.pdf
Ah! chi mi dice mai/啊！谁能告诉我 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Donna Elvira | http://theoperadatabase.com/PDFs/Mozart/Soprano/Ah%20chi%20mi%20dice%20mai.pdf
Ah, fuggi il traditor/啊，逃离那负心人 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Donna Elvira | http://theoperadatabase.com/PDFs/Mozart/Soprano/Ah%20fuggi%20il%20traditor.pdf
In quali...Mi tradi quell'alma ingrata/在何处...那颗忘恩负义的心背叛了我 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Donna Elvira | http://theoperadatabase.com/PDFs/Mozart/Soprano/Mi%20tradi%20quell%20alma%20ingrata.pdf
Batti, batti, o bel Masetto/鞭打我吧，亲爱的马赛托 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Zerlina | http://theoperadatabase.com/PDFs/Mozart/Soprano/Batti,%20batti,%20o%20bel%20Masetto.pdf
Vedrai, carino/你将看到，亲爱的 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Zerlina | http://theoperadatabase.com/PDFs/Mozart/Soprano/Vedrai,%20carino.pdf
Dalla sua pace/她的安宁 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Don Ottavio | http://theoperadatabase.com/PDFs/Mozart/Tenor/Dalla%20sua%20pace.pdf
Il mio tesoro/我亲爱的宝贝 | Mozart, Wolfgang Amadeus | Don Giovanni/唐·乔瓦尼 | Don Ottavio | http://theoperadatabase.com/PDFs/Mozart/Tenor/Il%20mio%20tesoro.pdf
D'Oreste, d'Ajace/奥雷斯特与阿贾克斯 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Electra | http://theoperadatabase.com/PDFs/Mozart/Soprano/D%20Oreste%20d%20Ajace.pdf
Idol mio, se ritroso/我亲爱的偶像，若你如此矜持 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Electra | http://theoperadatabase.com/PDFs/Mozart/Soprano/Idol%20mio%20se%20ritroso.pdf
Tutte nel cor vi sento/我心中感受到你们 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Electra | http://theoperadatabase.com/PDFs/Mozart/Soprano/Tutte%20nel%20cor%20vi%20sento.pdf
Il padre adorato/敬爱的父亲 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Idamantes | http://theoperadatabase.com/PDFs/Mozart/Soprano/Il%20padre%20adorato.pdf
No, la morte/不，死亡 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Idamantes | http://theoperadatabase.com/PDFs/Mozart/Soprano/No%20la%20morte.pdf
Non ho colpa/我无过错 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Idamantes | http://theoperadatabase.com/PDFs/Mozart/Soprano/Non%20ho%20colpa.pdf
Padre, germani, addio/父亲，兄弟们，再见了 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Ilia | http://theoperadatabase.com/PDFs/Mozart/Soprano/Padre%20germani%20addio.pdf
Se il padre perdei/若我失去了父亲 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Ilia | http://theoperadatabase.com/PDFs/Mozart/Soprano/Se%20il%20padre%20perdei.pdf
Zeffiretti lusinghieri/微风轻轻吹拂 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Ilia | http://theoperadatabase.com/PDFs/Mozart/Soprano/Zeffiretti%20lusinghieri.pdf
Se colá ne' fati è scritto/如果命运如此注定 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Arbaces | http://theoperadatabase.com/PDFs/Mozart/Tenor/Se%20cola%20ne%20fati%20e%20scritto.pdf
Se il tuo duol/若你忧伤 | Mozart, Wolfgang Amadeus | Idomeneo/伊多梅纽斯 | Arbaces | http://theoperadatabase.com/PDFs/Mozart/Tenor/Se%20il%20tuo%20duol.pdf
